U(V),U1(V),U2(V),H(A/m),B(T),mu(H/m)
0.5,0.1056,0.04677,26.4,0.7795000000000001,0.029526515151515158
1.0,0.214,0.07958,53.5,1.3263333333333334,0.024791277258566977
1.2,0.284,0.09347,71.0,1.5578333333333334,0.02194131455399061
1.5,0.4544,0.1169,113.60000000000001,1.9483333333333335,0.01715082159624413
1.8,0.6451,0.1332,161.275,2.22,0.013765307704231903
2.0,0.8131,0.1419,203.275,2.365,0.011634485303160743
2.2,0.9946,0.1498,248.65,2.4966666666666666,0.010040887458944969
2.5,1.251,0.1575,312.75,2.625,0.008393285371702638
2.8,1.499,0.164,374.75,2.733333333333334,0.007293751389815434
3.0,1.65,0.167,412.5,2.7833333333333337,0.006747474747474749
